Model Year,Make,Electric Range
2023,TESLA,0.0
2023,MERCEDES-BENZ,0.0
2013,TESLA,208.0
2023,NISSAN,0.0
2024,TOYOTA,39.0
2024,JEEP,21.0
2018,CHRYSLER,33.0
2023,GENESIS,0.0
2022,FORD,0.0
2021,VOLVO,18.0
2023,TESLA,0.0
2021,TESLA,0.0
2023,TESLA,0.0
2024,TESLA,0.0
2022,TESLA,0.0
2022,LUCID,0.0
2020,TESLA,291.0
2024,VOLKSWAGEN,0.0
2023,TESLA,0.0
2020,TESLA,266.0
2023,VOLKSWAGEN,0.0
2022,VOLVO,0.0
2023,TESLA,0.0
2016,BMW,14.0
2023,TESLA,0.0
2024,HYUNDAI,0.0
2024,FORD,0.0
2024,MAZDA,26.0
2017,CHEVROLET,238.0
2024,TESLA,0.0
2022,TESLA,0.0
2023,TESLA,0.0
2020,VOLVO,22.0
2018,NISSAN,151.0
2013,NISSAN,75.0
2013,TOYOTA,6.0
2022,CHEVROLET,0.0
2023,MERCEDES-BENZ,0.0
2023,MITSUBISHI,38.0
2023,VOLVO,32.0
2021,TESLA,0.0
2023,BMW,0.0
2023,GENESIS,0.0
2024,BMW,0.0
2012,TOYOTA,6.0
2023,MERCEDES-BENZ,0.0
2024,TESLA,0.0
2018,BMW,13.0
2020,PORSCHE,192.0
2024,TESLA,0.0
2020,TESLA,266.0
2024,HYUNDAI,0.0
2020,KIA,239.0
2021,TESLA,0.0
2018,TESLA,215.0
2018,TESLA,215.0
2024,TESLA,0.0
2023,VOLKSWAGEN,0.0
2024,TESLA,0.0
2023,TESLA,0.0
2019,TESLA,220.0
2023,TESLA,0.0
2024,HYUNDAI,0.0
2024,ALFA ROMEO,33.0
2022,KIA,0.0
2019,CHEVROLET,238.0
2019,TESLA,220.0
2024,CADILLAC,0.0
2024,HYUNDAI,0.0
2025,TOYOTA,42.0
2022,TESLA,0.0
2023,TESLA,0.0
2022,KIA,0.0
2023,AUDI,23.0
2022,JEEP,25.0
2022,BMW,18.0
2023,BMW,0.0
2018,TESLA,215.0
2022,CHEVROLET,0.0
2024,TESLA,0.0
2018,TESLA,215.0
2023,TESLA,0.0
2017,TOYOTA,25.0
2023,CHEVROLET,0.0
2023,TESLA,0.0
2024,GMC,0.0
2012,TOYOTA,6.0
2013,FORD,76.0
2017,CHEVROLET,238.0
2019,TESLA,289.0
2013,NISSAN,75.0
2023,CHRYSLER,32.0
2023,JEEP,21.0
2021,CHEVROLET,0.0
2021,TESLA,0.0
2018,PORSCHE,16.0
2022,TESLA,0.0
2025,CHEVROLET,0.0
2018,TESLA,215.0
2015,TESLA,208.0
2021,FORD,0.0
2024,NISSAN,0.0
2025,TESLA,0.0
2023,AUDI,23.0
2024,NISSAN,0.0
2021,FORD,0.0
2023,FORD,37.0
2023,NISSAN,0.0
2023,KIA,34.0
2017,BMW,14.0
2023,FORD,0.0
2023,MERCEDES-BENZ,0.0
2023,FORD,0.0
2021,TOYOTA,42.0
2024,PORSCHE,0.0
2017,FIAT,84.0
2022,TESLA,0.0
2025,TESLA,0.0
2013,NISSAN,75.0
2020,TESLA,266.0
2024,BMW,39.0
2016,TESLA,200.0
2021,TESLA,0.0
2020,NISSAN,215.0
2023,LUCID,0.0
2024,TESLA,0.0
2021,TOYOTA,42.0
2021,TESLA,0.0
2024,TESLA,0.0
2024,HYUNDAI,0.0
2020,TESLA,322.0
2013,NISSAN,75.0
2025,KIA,34.0
2020,NISSAN,149.0
2024,TESLA,0.0
2023,JEEP,21.0
2022,TOYOTA,25.0
2025,VOLVO,35.0
2019,TESLA,220.0
2016,VOLKSWAGEN,83.0
2025,AUDI,0.0
2024,CHEVROLET,0.0
2023,TESLA,0.0
2021,TESLA,0.0
2013,NISSAN,75.0
2022,HYUNDAI,0.0
